R_fighter,B_fighter,date,Winner,B_total_time_fought(seconds),B_total_rounds_fought,B_total_title_bouts,B_current_win_streak,B_current_lose_streak,B_longest_win_streak,B_wins,B_losses,B_draw,B_win_by_Decision_Majority,B_win_by_Decision_Split,B_win_by_Decision_Unanimous,B_win_by_KO/TKO,B_win_by_Submission,B_win_by_TKO_Doctor_Stoppage,B_Height_cms,B_Reach_cms,B_Weight_lbs,B_striker,B_BJJ,B_freestyle,B_wrestling,B_kickboxing,B_unknown,B_grappling,R_striker,R_BJJ,R_freestyle,R_wrestling,R_kickboxing,R_unknown,R_grappling,R_total_time_fought(seconds),R_total_rounds_fought,R_total_title_bouts,R_current_win_streak,R_current_lose_streak,R_longest_win_streak,R_wins,R_losses,R_draw,R_win_by_Decision_Majority,R_win_by_Decision_Split,R_win_by_Decision_Unanimous,R_win_by_KO/TKO,R_win_by_Submission,R_win_by_TKO_Doctor_Stoppage,R_Height_cms,R_Reach_cms,R_Weight_lbs,B_age,R_age,R_Stance_Orthodox,R_Stance_Southpaw,R_Stance_Switch,R_Stance_nan,B_Stance_Orthodox,B_Stance_Southpaw,B_Stance_Switch,B_Stance_nan,B_Country_Argentina,B_Country_Australia,B_Country_Austria,B_Country_Brazil,B_Country_Canada,B_Country_China,B_Country_Denmark,B_Country_Iceland,B_Country_Jamaica,B_Country_Japan,B_Country_Nigeria,B_Country_Northern Ireland,B_Country_Norway,B_Country_Palestine,B_Country_Russia,B_Country_Tunisia,B_Country_USA,B_Country_brazil,B_Country_england ,B_Country_poland,B_Country_sweden,R_Country_Afghanistan,R_Country_Argentina,R_Country_Australia,R_Country_Austria,R_Country_Brazil,R_Country_China,R_Country_Denmark,R_Country_Germany,R_Country_Ghana,R_Country_Iceland,R_Country_New Zealand,R_Country_Nigeria,R_Country_Palestine,R_Country_Russia,R_Country_USA,R_Country_brazil,R_Country_canada,R_Country_england ,R_Country_ireland
Song Kenan,Max Griffin,3/20/2021,0,0.5849084492521953,28,0,0,1,1,4,6,0,1,0,1,2,0,0,0.4285714285714288,0.5999999999999996,0.5,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0.22175036887313626,10,0,2,0,2,4,1,0,0,0,1,3,0,0,0.5714285714285712,0.09999999999999964,0.5,35,31,0,0,1,0,1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Leon Edwards,Belal Muhammad,3/13/2021,1,0.6346307624418014,34,0,0,1,4,9,3,0,0,1,6,1,1,0,0.4285714285714288,0.20000000000000018,0.5,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0.8553234917129648,38,0,0,1,8,10,2,0,0,1,6,2,1,0,0.8571428571428577,0.40000000000000036,0.5,32,29,1,0,0,0,0,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
Matthew Semelsberger,Jason Witt,3/13/2021,2,0.15808715245153385,3,0,0,1,1,1,1,0,0,0,0,0,1,0,0.2857142857142865,0.0,0.5,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0.569669051070643,3,0,1,0,1,1,0,0,0,0,1,0,0,0,0.7142857142857135,0.5,0.5,34,28,1,0,0,0,1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
Sean Brady,Jake Matthews,3/6/2021,2,0.6237742052069559,34,0,2,0,3,10,4,0,0,1,4,0,4,1,0.4285714285714288,0.2999999999999998,0.5,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0.38118123752847727,8,0,3,0,3,3,0,0,0,0,2,0,1,0,0.2857142857142865,0.20000000000000018,0.5,26,28,1,0,0,0,1,0,0,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
Belal Muhammad,Dhiego Lima,2/13/2021,2,0.5480991125032856,18,2,0,1,3,4,5,0,0,2,1,1,0,0,0.8571428571428577,0.5,0.5,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0.5330469358245371,31,0,0,1,4,8,3,0,0,1,5,1,1,0,0.4285714285714288,0.20000000000000018,0.5,32,32,1,0,0,0,0,0,1,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
Kamaru Usman,Gilbert Burns,2/13/2021,2,0.7226398534232665,36,0,3,0,6,12,3,0,0,0,5,3,4,0,0.2857142857142865,0.09999999999999964,0.5,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0.9999999999999999,43,4,12,0,12,12,0,0,0,0,9,2,1,0,0.5714285714285712,0.5999999999999996,0.5,34,33,1,0,0,0,0,1,0,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Warlley Alves,Mounir Lazzez,1/20/2021,2,0.6525299484169693,3,0,1,0,1,1,0,0,0,0,1,0,0,0,0.7142857142857135,0.5999999999999996,0.5,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0.3019399798140639,27,1,4,0,4,7,4,0,0,0,2,1,3,1,0.4285714285714288,0.20000000000000018,0.5,33,30,1,0,0,0,1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Michael Chiesa,Neil Magny,1/20/2021,2,0.6402066363074603,61,0,1,0,7,17,6,0,0,1,10,5,1,0,1.0,1.0000000000000009,0.5,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0.46680726453137905,30,1,2,0,3,10,4,0,0,0,4,0,6,0,0.7142857142857135,0.5,0.5,33,33,1,0,0,0,1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
Carlos Condit,Matt Brown,1/16/2021,2,0.2802269312894313,58,0,1,0,7,15,11,0,0,0,2,11,2,0,0.5714285714285712,0.5,0.5,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0.41258888023370005,48,3,0,1,5,8,9,0,0,1,2,4,0,1,0.8571428571428577,0.5,0.5,40,36,0,1,0,0,1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
David Zawada,Ramazan Emeev,1/16/2021,0,0.6525299484169693,15,0,3,0,3,4,1,0,0,0,4,0,0,0,0.2857142857142865,0.5999999999999996,0.5,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0.28043775098007834,7,0,0,2,1,1,2,0,0,0,0,0,1,0,0.5714285714285712,0.5,0.5,33,30,0,1,0,0,1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
